[[0, 1], [1, 0]]
SIZE 327680, REAL_BD 35.754 GB/s, BD/PAIR 17.877 GB/s, time 1.833e-03 s, comm_vol 65.536 MB
SIZE 393216, REAL_BD 41.434 GB/s, BD/PAIR 20.717 GB/s, time 1.898e-03 s, comm_vol 78.643 MB
SIZE 458752, REAL_BD 47.598 GB/s, BD/PAIR 23.799 GB/s, time 1.928e-03 s, comm_vol 91.75 MB
SIZE 524288, REAL_BD 54.31 GB/s, BD/PAIR 27.155 GB/s, time 1.931e-03 s, comm_vol 104.858 MB
SIZE 655360, REAL_BD 63.38 GB/s, BD/PAIR 31.69 GB/s, time 2.068e-03 s, comm_vol 131.072 MB
SIZE 786432, REAL_BD 73.571 GB/s, BD/PAIR 36.785 GB/s, time 2.138e-03 s, comm_vol 157.286 MB
SIZE 917504, REAL_BD 86.634 GB/s, BD/PAIR 43.317 GB/s, time 2.118e-03 s, comm_vol 183.501 MB
SIZE 1048576, REAL_BD 93.011 GB/s, BD/PAIR 46.506 GB/s, time 2.255e-03 s, comm_vol 209.715 MB
SIZE 1310720, REAL_BD 112.367 GB/s, BD/PAIR 56.184 GB/s, time 2.333e-03 s, comm_vol 262.144 MB
SIZE 1572864, REAL_BD 127.665 GB/s, BD/PAIR 63.832 GB/s, time 2.464e-03 s, comm_vol 314.573 MB
SIZE 1835008, REAL_BD 138.241 GB/s, BD/PAIR 69.121 GB/s, time 2.655e-03 s, comm_vol 367.002 MB
SIZE 2097152, REAL_BD 151.827 GB/s, BD/PAIR 75.913 GB/s, time 2.763e-03 s, comm_vol 419.43 MB
SIZE 2621440, REAL_BD 165.839 GB/s, BD/PAIR 82.919 GB/s, time 3.161e-03 s, comm_vol 524.288 MB
SIZE 3145728, REAL_BD 180.297 GB/s, BD/PAIR 90.149 GB/s, time 3.489e-03 s, comm_vol 629.146 MB
SIZE 3670016, REAL_BD 192.415 GB/s, BD/PAIR 96.207 GB/s, time 3.815e-03 s, comm_vol 734.003 MB
SIZE 4194304, REAL_BD 197.532 GB/s, BD/PAIR 98.766 GB/s, time 4.247e-03 s, comm_vol 838.861 MB
SIZE 5242880, REAL_BD 204.818 GB/s, BD/PAIR 102.409 GB/s, time 5.120e-03 s, comm_vol 1.049 GB
SIZE 6291456, REAL_BD 214.487 GB/s, BD/PAIR 107.243 GB/s, time 5.867e-03 s, comm_vol 1.258 GB
SIZE 7340032, REAL_BD 224.031 GB/s, BD/PAIR 112.015 GB/s, time 6.553e-03 s, comm_vol 1.468 GB
SIZE 8388608, REAL_BD 232.026 GB/s, BD/PAIR 116.013 GB/s, time 7.231e-03 s, comm_vol 1.678 GB
SIZE 10485760, REAL_BD 232.381 GB/s, BD/PAIR 116.191 GB/s, time 9.025e-03 s, comm_vol 2.097 GB
SIZE 12582912, REAL_BD 242.936 GB/s, BD/PAIR 121.468 GB/s, time 1.036e-02 s, comm_vol 2.517 GB
SIZE 14680064, REAL_BD 245.138 GB/s, BD/PAIR 122.569 GB/s, time 1.198e-02 s, comm_vol 2.936 GB
SIZE 16777216, REAL_BD 254.572 GB/s, BD/PAIR 127.286 GB/s, time 1.318e-02 s, comm_vol 3.355 GB
SIZE 20971520, REAL_BD 260.405 GB/s, BD/PAIR 130.203 GB/s, time 1.611e-02 s, comm_vol 4.194 GB
SIZE 25165824, REAL_BD 263.179 GB/s, BD/PAIR 131.589 GB/s, time 1.912e-02 s, comm_vol 5.033 GB
SIZE 29360128, REAL_BD 268.092 GB/s, BD/PAIR 134.046 GB/s, time 2.190e-02 s, comm_vol 5.872 GB
SIZE 33554432, REAL_BD 271.225 GB/s, BD/PAIR 135.613 GB/s, time 2.474e-02 s, comm_vol 6.711 GB
SIZE 41943040, REAL_BD 274.284 GB/s, BD/PAIR 137.142 GB/s, time 3.058e-02 s, comm_vol 8.389 GB
SIZE 50331648, REAL_BD 276.514 GB/s, BD/PAIR 138.257 GB/s, time 3.640e-02 s, comm_vol 10.066 GB
SIZE 58720256, REAL_BD 277.473 GB/s, BD/PAIR 138.737 GB/s, time 4.233e-02 s, comm_vol 11.744 GB
SIZE 67108864, REAL_BD 280.038 GB/s, BD/PAIR 140.019 GB/s, time 4.793e-02 s, comm_vol 13.422 GB
SIZE 83886080, REAL_BD 283.013 GB/s, BD/PAIR 141.507 GB/s, time 5.928e-02 s, comm_vol 16.777 GB
SIZE 100663296, REAL_BD 284.83 GB/s, BD/PAIR 142.415 GB/s, time 7.068e-02 s, comm_vol 20.133 GB
SIZE 117440512, REAL_BD 285.983 GB/s, BD/PAIR 142.991 GB/s, time 8.213e-02 s, comm_vol 23.488 GB
SIZE 134217728, REAL_BD 287.103 GB/s, BD/PAIR 143.551 GB/s, time 9.350e-02 s, comm_vol 26.844 GB
SIZE 167772160, REAL_BD 309.549 GB/s, BD/PAIR 154.774 GB/s, time 1.084e-01 s, comm_vol 33.554 GB
SIZE 201326592, REAL_BD 310.777 GB/s, BD/PAIR 155.388 GB/s, time 1.296e-01 s, comm_vol 40.265 GB
SIZE 234881024, REAL_BD 311.39 GB/s, BD/PAIR 155.695 GB/s, time 1.509e-01 s, comm_vol 46.976 GB
SIZE 268435456, REAL_BD 311.935 GB/s, BD/PAIR 155.967 GB/s, time 1.721e-01 s, comm_vol 53.687 GB
SIZE 335544320, REAL_BD 312.989 GB/s, BD/PAIR 156.494 GB/s, time 2.144e-01 s, comm_vol 67.109 GB
SIZE 402653184, REAL_BD 313.544 GB/s, BD/PAIR 156.772 GB/s, time 2.568e-01 s, comm_vol 80.531 GB
SIZE 469762048, REAL_BD 313.98 GB/s, BD/PAIR 156.99 GB/s, time 2.992e-01 s, comm_vol 93.952 GB
SIZE 536870912, REAL_BD 314.367 GB/s, BD/PAIR 157.183 GB/s, time 3.416e-01 s, comm_vol 107.374 GB
SIZE 671088640, REAL_BD 314.802 GB/s, BD/PAIR 157.401 GB/s, time 4.264e-01 s, comm_vol 134.218 GB
SIZE 805306368, REAL_BD 315.129 GB/s, BD/PAIR 157.565 GB/s, time 5.111e-01 s, comm_vol 161.061 GB
SIZE 939524096, REAL_BD 315.376 GB/s, BD/PAIR 157.688 GB/s, time 5.958e-01 s, comm_vol 187.905 GB
SIZE 1073741824, REAL_BD 315.557 GB/s, BD/PAIR 157.779 GB/s, time 6.805e-01 s, comm_vol 214.748 GB
