[[0, 1], [1, 0]]
SIZE 8192, REAL_BD 1.016 GB/s, BD/PAIR 507.98 MB/s, time 1.613e-03 s, comm_vol 1.638 MB
SIZE 16384, REAL_BD 2.331 GB/s, BD/PAIR 1.165 GB/s, time 1.406e-03 s, comm_vol 3.277 MB
SIZE 24576, REAL_BD 3.269 GB/s, BD/PAIR 1.634 GB/s, time 1.504e-03 s, comm_vol 4.915 MB
SIZE 32768, REAL_BD 4.298 GB/s, BD/PAIR 2.149 GB/s, time 1.525e-03 s, comm_vol 6.554 MB
SIZE 40960, REAL_BD 5.281 GB/s, BD/PAIR 2.641 GB/s, time 1.551e-03 s, comm_vol 8.192 MB
SIZE 49152, REAL_BD 6.179 GB/s, BD/PAIR 3.089 GB/s, time 1.591e-03 s, comm_vol 9.83 MB
SIZE 57344, REAL_BD 7.171 GB/s, BD/PAIR 3.586 GB/s, time 1.599e-03 s, comm_vol 11.469 MB
SIZE 65536, REAL_BD 7.936 GB/s, BD/PAIR 3.968 GB/s, time 1.652e-03 s, comm_vol 13.107 MB
SIZE 81920, REAL_BD 10.003 GB/s, BD/PAIR 5.001 GB/s, time 1.638e-03 s, comm_vol 16.384 MB
SIZE 98304, REAL_BD 11.623 GB/s, BD/PAIR 5.811 GB/s, time 1.692e-03 s, comm_vol 19.661 MB
SIZE 114688, REAL_BD 13.384 GB/s, BD/PAIR 6.692 GB/s, time 1.714e-03 s, comm_vol 22.938 MB
SIZE 131072, REAL_BD 15.072 GB/s, BD/PAIR 7.536 GB/s, time 1.739e-03 s, comm_vol 26.214 MB
SIZE 163840, REAL_BD 19.317 GB/s, BD/PAIR 9.658 GB/s, time 1.696e-03 s, comm_vol 32.768 MB
SIZE 196608, REAL_BD 22.369 GB/s, BD/PAIR 11.185 GB/s, time 1.758e-03 s, comm_vol 39.322 MB
SIZE 229376, REAL_BD 26.536 GB/s, BD/PAIR 13.268 GB/s, time 1.729e-03 s, comm_vol 45.875 MB
SIZE 262144, REAL_BD 29.095 GB/s, BD/PAIR 14.548 GB/s, time 1.802e-03 s, comm_vol 52.429 MB
