[[0, 1], [1, 0]]
SIZE 83886080, REAL_BD 314.191 GB/s, BD/PAIR 157.096 GB/s, time 5.340e-02 s, comm_vol 16.777 GB
SIZE 100663296, REAL_BD 318.978 GB/s, BD/PAIR 159.489 GB/s, time 6.312e-02 s, comm_vol 20.133 GB
SIZE 117440512, REAL_BD 319.926 GB/s, BD/PAIR 159.963 GB/s, time 7.342e-02 s, comm_vol 23.488 GB
SIZE 134217728, REAL_BD 320.723 GB/s, BD/PAIR 160.361 GB/s, time 8.370e-02 s, comm_vol 26.844 GB
SIZE 167772160, REAL_BD 325.763 GB/s, BD/PAIR 162.882 GB/s, time 1.030e-01 s, comm_vol 33.554 GB
SIZE 201326592, REAL_BD 326.821 GB/s, BD/PAIR 163.411 GB/s, time 1.232e-01 s, comm_vol 40.265 GB
SIZE 234881024, REAL_BD 327.391 GB/s, BD/PAIR 163.696 GB/s, time 1.435e-01 s, comm_vol 46.976 GB
SIZE 268435456, REAL_BD 327.581 GB/s, BD/PAIR 163.79 GB/s, time 1.639e-01 s, comm_vol 53.687 GB
SIZE 335544320, REAL_BD 328.268 GB/s, BD/PAIR 164.134 GB/s, time 2.044e-01 s, comm_vol 67.109 GB
SIZE 402653184, REAL_BD 328.657 GB/s, BD/PAIR 164.329 GB/s, time 2.450e-01 s, comm_vol 80.531 GB
SIZE 469762048, REAL_BD 328.929 GB/s, BD/PAIR 164.464 GB/s, time 2.856e-01 s, comm_vol 93.952 GB
SIZE 536870912, REAL_BD 329.191 GB/s, BD/PAIR 164.596 GB/s, time 3.262e-01 s, comm_vol 107.374 GB
SIZE 671088640, REAL_BD 326.272 GB/s, BD/PAIR 163.136 GB/s, time 4.114e-01 s, comm_vol 134.218 GB
SIZE 805306368, REAL_BD 329.79 GB/s, BD/PAIR 164.895 GB/s, time 4.884e-01 s, comm_vol 161.061 GB
SIZE 939524096, REAL_BD 326.706 GB/s, BD/PAIR 163.353 GB/s, time 5.751e-01 s, comm_vol 187.905 GB
SIZE 1073741824, REAL_BD 330.083 GB/s, BD/PAIR 165.041 GB/s, time 6.506e-01 s, comm_vol 214.748 GB

