[[0, 8], [1, 9], [2, 10], [3, 11], [4, 12], [5, 13], [6, 14], [7, 15], [8, 0], [9, 1], [10, 2], [11, 3], [12, 4], [13, 5], [14, 6], [15, 7]]
SIZE 8192, REAL_BD 5.827 GB/s, BD/PAIR 364.173 MB/s, time 2.249e-03 s, comm_vol 13.107 MB
SIZE 16384, REAL_BD 10.711 GB/s, BD/PAIR 669.454 MB/s, time 2.447e-03 s, comm_vol 26.214 MB
SIZE 24576, REAL_BD 15.304 GB/s, BD/PAIR 956.474 MB/s, time 2.569e-03 s, comm_vol 39.322 MB
SIZE 32768, REAL_BD 21.292 GB/s, BD/PAIR 1.331 GB/s, time 2.462e-03 s, comm_vol 52.429 MB
SIZE 40960, REAL_BD 21.096 GB/s, BD/PAIR 1.318 GB/s, time 3.107e-03 s, comm_vol 65.536 MB
SIZE 49152, REAL_BD 25.019 GB/s, BD/PAIR 1.564 GB/s, time 3.143e-03 s, comm_vol 78.643 MB
SIZE 57344, REAL_BD 28.757 GB/s, BD/PAIR 1.797 GB/s, time 3.191e-03 s, comm_vol 91.75 MB
SIZE 65536, REAL_BD 32.31 GB/s, BD/PAIR 2.019 GB/s, time 3.245e-03 s, comm_vol 104.858 MB
SIZE 81920, REAL_BD 34.064 GB/s, BD/PAIR 2.129 GB/s, time 3.848e-03 s, comm_vol 131.072 MB
SIZE 98304, REAL_BD 40.009 GB/s, BD/PAIR 2.501 GB/s, time 3.931e-03 s, comm_vol 157.286 MB
SIZE 114688, REAL_BD 40.846 GB/s, BD/PAIR 2.553 GB/s, time 4.493e-03 s, comm_vol 183.501 MB
SIZE 131072, REAL_BD 55.485 GB/s, BD/PAIR 3.468 GB/s, time 3.780e-03 s, comm_vol 209.715 MB
SIZE 163840, REAL_BD 68.913 GB/s, BD/PAIR 4.307 GB/s, time 3.804e-03 s, comm_vol 262.144 MB
SIZE 196608, REAL_BD 81.834 GB/s, BD/PAIR 5.115 GB/s, time 3.844e-03 s, comm_vol 314.573 MB
SIZE 229376, REAL_BD 88.538 GB/s, BD/PAIR 5.534 GB/s, time 4.145e-03 s, comm_vol 367.002 MB
SIZE 262144, REAL_BD 103.557 GB/s, BD/PAIR 6.472 GB/s, time 4.050e-03 s, comm_vol 419.43 MB
SIZE 327680, REAL_BD 110.498 GB/s, BD/PAIR 6.906 GB/s, time 4.745e-03 s, comm_vol 524.288 MB
SIZE 393216, REAL_BD 127.504 GB/s, BD/PAIR 7.969 GB/s, time 4.934e-03 s, comm_vol 629.146 MB
SIZE 458752, REAL_BD 130.208 GB/s, BD/PAIR 8.138 GB/s, time 5.637e-03 s, comm_vol 734.003 MB
SIZE 524288, REAL_BD 142.171 GB/s, BD/PAIR 8.886 GB/s, time 5.900e-03 s, comm_vol 838.861 MB
SIZE 655360, REAL_BD 135.868 GB/s, BD/PAIR 8.492 GB/s, time 7.718e-03 s, comm_vol 1.049 GB
SIZE 786432, REAL_BD 166.241 GB/s, BD/PAIR 10.39 GB/s, time 7.569e-03 s, comm_vol 1.258 GB
SIZE 917504, REAL_BD 174.377 GB/s, BD/PAIR 10.899 GB/s, time 8.419e-03 s, comm_vol 1.468 GB
SIZE 1048576, REAL_BD 180.349 GB/s, BD/PAIR 11.272 GB/s, time 9.303e-03 s, comm_vol 1.678 GB
SIZE 1310720, REAL_BD 190.515 GB/s, BD/PAIR 11.907 GB/s, time 1.101e-02 s, comm_vol 2.097 GB
